TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Theft from Vehicle,2019,2,2,2,21,5XX MAIN ST,Strathcona,492753.1793,5458624.8528
Theft from Vehicle,2019,5,26,9,45,5XX MAIN ST,Strathcona,492753.1793,5458624.8528
Theft from Vehicle,2019,6,22,19,30,5XX MAIN ST,Strathcona,492753.1793,5458624.8528
Theft from Vehicle,2019,7,6,5,22,5XX MAIN ST,Strathcona,492753.1793,5458624.8528
Theft from Vehicle,2019,8,5,1,0,5XX MAIN ST,Strathcona,492753.1793,5458624.8528
Theft from Vehicle,2019,7,2,2,30,5XX POWELL ST,Strathcona,493218.102,5458923.9355
Theft from Vehicle,2019,9,12,14,48,5XX POWELL ST,Strathcona,493218.102,5458923.9355
Theft from Vehicle,2019,2,17,13,20,5XX POWELL ST,Strathcona,493248.0098,5458932.1768
Theft from Vehicle,2019,11,14,3,46,5XX RAYMUR AVE,Strathcona,493967.4758,5458551.6576
Theft from Vehicle,2019,12,18,5,23,5XX RAYMUR AVE,Strathcona,493987.7854,5458578.8994
Theft from Vehicle,2019,4,15,18,30,5XX TERMINAL AVE,Strathcona,493299.3068,5457625.023
Theft from Vehicle,2019,7,25,5,36,5XX UNION ST,Strathcona,493196.8622,5458310.9241
Theft from Vehicle,2019,4,17,3,0,5XX UNION ST,Strathcona,493240.5406,5458318.5008
Theft from Vehicle,2019,2,17,0,0,5XX UNION ST,Strathcona,493249.3028,5458318.1854
Theft from Vehicle,2019,6,22,12,50,5XX VERNON DR,Strathcona,494244.4325,5458587.4208
Theft from Vehicle,2019,6,11,15,30,6XX ALEXANDER ST,Strathcona,493341.2846,5459021.277
Theft from Vehicle,2019,6,11,22,0,6XX ALEXANDER ST,Strathcona,493341.2846,5459021.277
Theft from Vehicle,2019,9,10,18,21,6XX ALEXANDER ST,Strathcona,493341.2846,5459021.277
Theft from Vehicle,2019,10,2,6,30,6XX ALEXANDER ST,Strathcona,493341.2846,5459021.277
Theft from Vehicle,2019,1,9,7,10,6XX ALEXANDER ST,Strathcona,493362.2884,5459029.6987
Theft from Vehicle,2019,3,15,7,25,6XX ALEXANDER ST,Strathcona,493362.2884,5459029.6987
Theft from Vehicle,2019,5,29,22,0,6XX ALEXANDER ST,Strathcona,493467.6694,5459017.2048
Theft from Vehicle,2019,7,28,19,0,6XX ATLANTIC ST,Strathcona,493361.5877,5458118.4564
Theft from Vehicle,2019,11,9,3,30,6XX E CORDOVA ST,Strathcona,493358.0751,5458819.3608
Theft from Vehicle,2019,12,30,16,0,6XX E CORDOVA ST,Strathcona,493358.0751,5458819.3608
Theft from Vehicle,2019,1,17,20,30,6XX E CORDOVA ST,Strathcona,493398.519,5458827.2558
Theft from Vehicle,2019,7,7,18,0,6XX E GEORGIA ST,Strathcona,493344.2361,5458407.2749
Theft from Vehicle,2019,9,1,7,25,6XX E GEORGIA ST,Strathcona,493344.2361,5458407.2749
Theft from Vehicle,2019,11,13,21,0,6XX E GEORGIA ST,Strathcona,493344.2361,5458407.2749
Theft from Vehicle,2019,5,27,23,17,6XX E GEORGIA ST,Strathcona,493392.8997,5458405.8346
Theft from Vehicle,2019,1,29,4,0,6XX E GEORGIA ST,Strathcona,493393.8058,5458414.9553
Theft from Vehicle,2019,3,6,21,30,6XX E GEORGIA ST,Strathcona,493393.8058,5458414.9553
Theft from Vehicle,2019,6,15,6,0,6XX E GEORGIA ST,Strathcona,493411.698,5458405.2775
Theft from Vehicle,2019,11,22,21,0,6XX E GEORGIA ST,Strathcona,493430.839,5458404.7113
Theft from Vehicle,2019,11,23,11,24,6XX E HASTINGS ST,Strathcona,493354.7701,5458724.2337
Theft from Vehicle,2019,10,11,19,0,6XX E HASTINGS ST,Strathcona,493362.2836,5458714.8858
Theft from Vehicle,2019,10,29,15,15,6XX E HASTINGS ST,Strathcona,493457.041,5458712.3555
Theft from Vehicle,2019,1,11,10,19,6XX E PENDER ST,Strathcona,493350.2976,5458607.9754
Theft from Vehicle,2019,4,10,20,0,6XX E PENDER ST,Strathcona,493350.2976,5458607.9754
Theft from Vehicle,2019,9,13,16,30,6XX EVANS AVE,Strathcona,493462.7524,5457719.1418
Theft from Vehicle,2019,11,5,17,0,6XX EVANS AVE,Strathcona,493486.6221,5457712.9611
Theft from Vehicle,2019,10,8,11,0,6XX GLEN DR,Strathcona,494088.7618,5458485.5393
Theft from Vehicle,2019,3,28,17,0,6XX GORE AVE,Strathcona,492936.7518,5458513.8526
Theft from Vehicle,2019,12,28,12,0,6XX GORE AVE,Strathcona,492936.7518,5458513.8526
